X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
7,4,7,6,4.0,1.0,3.0,0.0,2.0,1,2.0,0.0,0.0
7,4,7,6,4.0,2.0,3.0,1.0,3.0,1,2.0,0.0,0.0
7,4,7,0,4.0,2.0,3.0,0.0,2.0,2,2.0,0.0,0.0
7,4,8,5,4.0,2.0,3.0,1.0,2.0,1,2.0,0.0,0.0
6,5,7,6,4.0,1.0,3.0,0.0,2.0,2,2.0,0.0,0.0
8,6,2,5,4.0,0.0,0.0,0.0,2.0,0,2.0,0.0,0.0
8,6,7,0,4.0,1.0,2.0,1.0,2.0,1,3.0,0.0,0.0
8,6,7,0,4.0,2.0,3.0,0.0,2.0,1,2.0,0.0,0.0
8,6,7,1,4.0,1.0,3.0,0.0,3.0,0,1.0,0.0,0.0
4,4,8,5,4.0,1.0,4.0,0.0,2.0,1,2.0,0.0,0.0
6,3,8,5,4.0,2.0,4.0,0.0,2.0,2,1.0,0.0,0.0
6,3,8,5,4.0,2.0,4.0,0.0,2.0,1,1.0,0.0,0.0
1,4,8,5,4.0,2.0,4.0,0.0,3.0,1,1.0,0.0,0.0
5,4,7,2,4.0,2.0,3.0,1.0,3.0,1,3.0,0.0,0.0
5,4,7,2,4.0,2.0,3.0,1.0,3.0,1,1.0,0.0,0.0
4,4,7,2,4.0,2.0,3.0,1.0,2.0,3,3.0,0.0,0.0
4,4,7,3,4.0,2.0,3.0,1.0,2.0,2,0.0,0.0,0.0
4,4,7,3,4.0,2.0,3.0,1.0,4.0,1,2.0,0.0,0.0
4,4,7,4,4.0,2.0,3.0,1.0,4.0,0,2.0,0.0,0.0
1,3,7,5,4.0,2.0,3.0,1.0,4.0,0,1.0,0.0,0.0
